new_x,elevation,ex_data,ny_data
0.0,95.32,278426.469,2753111.65
0.10000000000000009,95.16,278426.5659,2753111.6252
0.21999999999999997,94.97,278426.6821,2753111.5954
0.8,94.94,278427.244,2753111.4515
1.3399999999999999,87.76,278427.7671,2753111.3175
8.530000000000001,87.76,278434.7322,2753109.5337
14.73,87.91,278440.7383,2753107.9954
21.23,87.93,278447.035,2753106.3827
27.59,87.86,278453.196,2753104.8048
29.41,87.46,278454.9591,2753104.3532
37.150000000000006,87.35,278462.457,2753102.4329
41.480000000000004,87.36,278466.6516,2753101.3586
47.57,87.45,278472.5511,2753099.8476
51.620000000000005,87.34,278476.4744,2753098.8428
52.510000000000005,87.59,278477.3366,2753098.622
58.31,87.34,278482.9551,2753097.183
60.080000000000005,88.33,278484.6698,2753096.7438
64.94,88.19,278489.3778,2753095.5381
67.49000000000001,87.7,278491.848,2753094.9054
74.53,87.67,278498.6678,2753093.1587
81.56,87.5,278505.4779,2753091.4146
86.61,86.85,278510.37,2753090.1616
89.33,85.86,278513.0049,2753089.4868
91.14,85.82,278514.7583,2753089.0377
94.47,85.76,278517.9841,2753088.2115
98.07000000000001,85.42,278521.4715,2753087.3183
101.72,85.42,278525.0073,2753086.4128
104.9,85.38,278528.0879,2753085.6238
108.17,84.96,278531.2556,2753084.8125
109.60000000000001,85.09,278532.6409,2753084.4577
110.94,85.66,278533.939,2753084.1252
111.87,85.57,278534.8399,2753083.8945
113.08,84.99,278536.012,2753083.5943
116.98,84.94,278539.79,2753082.6267
126.29,84.59,278548.8088,2753080.3168
126.94,84.42,278549.4385,2753080.1555
129.44,84.18,278551.8603,2753079.5353
131.21,83.62,278553.5749,2753079.0961
134.25,81.89,278556.5199,2753078.3419
137.64000000000001,81.54,278559.8038,2753077.5008
139.71,80.46,278561.8091,2753076.9872
142.55,79.7,278564.5602,2753076.2826
144.53,78.76,278566.4783,2753075.7914
146.56,78.7,278568.4448,2753075.2877
149.78,80.67,278571.5641,2753074.4888
152.35,80.75,278574.0537,2753073.8512
156.04,79.34,278577.6283,2753072.9357
162.54,79.96,278583.925,2753071.323
168.12,81.15,278589.3305,2753069.9386
171.27,81.02,278592.3819,2753069.1571
176.9,78.91,278597.8358,2753067.7602
178.21,78.93,278599.1049,2753067.4352
179.15,79.09,278600.0155,2753067.202
184.94,77.37,278605.6243,2753065.7655
186.3,77.36,278606.9418,2753065.428
191.69,76.09,278612.1632,2753064.0907
194.44,75.9,278614.8272,2753063.4085
195.76,75.87,278616.1059,2753063.081
197.13,75.04,278617.4331,2753062.7411
197.56,75.23,278617.8496,2753062.6344
200.92000000000002,76.35,278621.1045,2753061.8007
201.96,76.24,278622.112,2753061.5427
203.92000000000002,75.31,278624.0107,2753061.0564
207.09,75.21,278627.0815,2753060.2699
209.36,73.86,278629.2805,2753059.7067
217.69,74.26,278637.35,2753057.64
221.7,73.81,278641.2345,2753056.6451
222.69,73.45,278642.1936,2753056.3995
226.48,73.14,278645.865,2753055.4592
229.32,73.78,278648.6162,2753054.7546
230.74,74.38,278649.9918,2753054.4022
232.24,74.46,278651.4449,2753054.0301
234.25,74.11,278653.392,2753053.5314
236.78,73.98,278655.8429,2753052.9037
238.03,73.56,278657.0538,2753052.5936
240.85,73.94,278659.7856,2753051.8939
242.87,73.62,278661.7424,2753051.3927
245.67000000000002,73.55,278664.4548,2753050.698
248.99,73.27,278667.671,2753049.8743
251.93,73.0,278670.519,2753049.1449
254.0,72.98,278672.5243,2753048.6313
256.02,74.17,278674.4811,2753048.1302
258.93,74.05,278677.3,2753047.4082
260.77,74.13,278679.0825,2753046.9517
262.79,73.32,278681.0393,2753046.4505
264.83,74.35,278683.0155,2753045.9443
269.18,73.13,278687.2294,2753044.8651
272.29,73.46,278690.2422,2753044.0935
274.32,74.29,278692.2087,2753043.5898
277.36,74.52,278695.1536,2753042.8356
283.98,75.14,278701.5665,2753041.1931
287.85,74.94,278705.3155,2753040.233
289.88,74.47,278707.282,2753039.7293
290.88,75.38,278708.2507,2753039.4812
294.27,75.24,278711.5347,2753038.6401
294.89,75.79,278712.1353,2753038.4863
300.55,81.68,278717.6182,2753037.082
302.44,81.74,278719.4491,2753036.6131
302.57,83.21,278719.5751,2753036.5809
303.16,83.38,278720.1466,2753036.4345
308.26,94.82,278725.0871,2753035.1691
308.39,94.82,278725.213,2753035.1369
308.65,95.26,278725.4649,2753035.0724
309.14,95.28,278725.9396,2753034.9508
309.23,95.15,278726.0267,2753034.9285
314.88,95.07,278731.5,2753033.5267
321.33,95.28,278737.7483,2753031.9264
325.27,95.22,278741.565,2753030.9489
325.78000000000003,95.24,278742.0591,2753030.8223
326.0,95.81,278742.2722,2753030.7678
326.39,95.9,278742.65,2753030.671
