new_x,elevation,ex_data,ny_data
0.0,10.92,299612.653,2771389.547
0.47,10.88,299613.0535,2771389.301
0.73,10.95,299613.275,2771389.165
14.409999999999998,4.45,299624.9321,2771382.0056
14.59,4.46,299625.0854,2771381.9114
14.629999999999999,3.8,299625.1195,2771381.8905
14.819999999999999,3.81,299625.2814,2771381.791
14.899999999999999,3.52,299625.3496,2771381.7492
15.95,3.47,299626.2443,2771381.1997
20.83,3.53,299630.4027,2771378.6457
22.66,3.38,299631.9621,2771377.688
23.33,3.15,299632.533,2771377.3374
24.61,3.68,299633.6237,2771376.6675
37.67,3.64,299644.7524,2771369.8326
41.03,3.19,299647.6155,2771368.0742
42.9,3.19,299649.209,2771367.0955
46.019999999999996,3.66,299651.8676,2771365.4627
59.92,3.64,299663.7121,2771358.1882
61.019999999999996,3.04,299664.6494,2771357.6125
61.54,3.06,299665.0925,2771357.3404
62.5,3.65,299665.9106,2771356.838
66.47000000000001,3.36,299669.2935,2771354.7603
69.26,3.32,299671.6709,2771353.3002
71.57000000000001,3.31,299673.6393,2771352.0912
72.03,3.32,299674.0313,2771351.8505
72.11,3.29,299674.0994,2771351.8086
72.73,3.16,299674.6277,2771351.4842
72.77000000000001,3.03,299674.6618,2771351.4632
73.28,2.97,299675.0964,2771351.1963
73.41000000000001,2.89,299675.2072,2771351.1283
76.13000000000001,2.94,299677.525,2771349.7048
76.91000000000001,3.24,299678.1896,2771349.2966
93.71000000000001,1.09,299692.5052,2771340.5044
98.35000000000001,0.73,299696.4591,2771338.0761
102.85000000000001,0.39,299700.2936,2771335.721
106.58000000000001,0.05,299703.472,2771333.7689
110.60000000000001,-0.29,299706.8976,2771331.6651
120.54,-0.98,299715.3676,2771326.4631
127.99000000000001,-1.5,299721.7159,2771322.5641
136.01,-1.56,299728.55,2771318.3669
147.29,-1.72,299738.1619,2771312.4636
152.13,-2.01,299742.2861,2771309.9306
158.57,-2.66,299747.7738,2771306.5603
165.01999999999998,-2.79,299753.27,2771303.1847
171.54999999999998,-3.52,299758.8343,2771299.7673
178.07,-4.02,299764.3902,2771296.355
184.54999999999998,-3.88,299769.9119,2771292.9638
191.06,-3.88,299775.4592,2771289.5568
197.6,-3.85,299781.0321,2771286.1341
205.14,-3.69,299787.4571,2771282.1881
211.67,-3.42,299793.0214,2771278.7707
217.81,-3.15,299798.2534,2771275.5573
224.23,-2.55,299803.7241,2771272.1975
229.82999999999998,-2.14,299808.4959,2771269.2667
235.97,-2.06,299813.7279,2771266.0534
242.19,-2.09,299819.0281,2771262.7982
247.87,-1.83,299823.8682,2771259.8256
253.42,-1.89,299828.5975,2771256.921
259.59000000000003,-1.79,299833.855,2771253.692
265.97,-3.06,299839.2916,2771250.3531
272.55,-2.87,299844.8985,2771246.9095
278.92,-2.46,299850.3265,2771243.5758
285.94,-2.0,299856.3084,2771239.9019
292.23,-1.37,299861.6683,2771236.61
298.19,-1.41,299866.7469,2771233.4909
304.1,-1.42,299871.7829,2771230.3979
310.04,-1.37,299876.8445,2771227.2893
316.29,-1.59,299882.1703,2771224.0184
322.78000000000003,-1.24,299887.7006,2771220.6219
329.56,-1.48,299893.4779,2771217.0736
336.34000000000003,-2.11,299899.2553,2771213.5253
343.53000000000003,-3.01,299905.3821,2771209.7625
350.58000000000004,-3.86,299911.3895,2771206.0729
357.92,-4.56,299917.6441,2771202.2315
365.16,-4.92,299923.8134,2771198.4425
372.29,-4.89,299929.8891,2771194.7111
379.63,-5.07,299936.1436,2771190.8697
386.81,-5.04,299942.2619,2771187.1121
394.12,-4.68,299948.4909,2771183.2865
400.86,-4.08,299954.2342,2771179.7591
407.59000000000003,-3.31,299959.9689,2771176.237
414.25,-3.08,299965.644,2771172.7515
420.83000000000004,-3.18,299971.251,2771169.3079
427.43,-3.37,299976.875,2771165.8539
434.72,-3.45,299983.087,2771162.0387
441.25,-3.37,299988.6513,2771158.6212
446.75,-3.2,299993.338,2771155.7428
453.33000000000004,-2.76,299998.9449,2771152.2992
459.93,-2.73,300004.5689,2771148.8452
466.54,-2.71,300010.2014,2771145.3859
472.96000000000004,-2.76,300015.6721,2771142.026
479.90000000000003,-2.69,300021.5858,2771138.394
484.54,-2.64,300025.5396,2771135.9657
490.32,-2.76,300030.4649,2771132.9407
496.84000000000003,-2.71,300036.0207,2771129.5285
502.96000000000004,-2.54,300041.2357,2771126.3256
508.33000000000004,-2.37,300045.8116,2771123.5153
514.61,-1.95,300051.1629,2771120.2287
523.5899999999999,-1.84,300058.8149,2771115.5291
535.54,-1.72,300068.9978,2771109.2751
545.68,-1.17,300077.6383,2771103.9684
552.25,-0.86,300083.2367,2771100.53
555.23,0.72,300085.776,2771098.9704
558.77,1.73,300088.7926,2771097.1178
559.74,3.59,300089.6191,2771096.6101
570.63,3.52,300098.8987,2771090.9109
597.48,3.5,300121.7781,2771076.8591
620.05,3.37,300141.0105,2771065.0472
621.5,3.1,300142.2461,2771064.2884
632.3499999999999,3.17,300151.4916,2771058.6101
639.15,3.31,300157.286,2771055.0514
640.25,3.69,300158.2234,2771054.4757
648.1999999999999,3.7,300164.9977,2771050.3151
654.91,3.59,300170.7154,2771046.8035
662.3,3.04,300177.0126,2771042.9359
674.8499999999999,3.03,300187.7067,2771036.368
680.8499999999999,2.97,300192.8195,2771033.2279
697.3299999999999,3.02,300206.8624,2771024.6032
707.4599999999999,3.1,300215.4944,2771019.3017
717.68,2.97,300224.2031,2771013.9531
729.89,3.03,300234.6075,2771007.5631
737.3299999999999,3.05,300240.9472,2771003.6694
744.43,3.07,300246.9973,2770999.9537
754.25,2.99,300255.3651,2770994.8144
766.98,2.99,300266.2126,2770988.1522
783.3499999999999,2.96,300280.1618,2770979.5851
796.86,2.59,300291.674,2770972.5147
803.17,2.48,300297.0509,2770969.2124
805.8299999999999,1.06,300299.3175,2770967.8203
808.26,-0.39,300301.3882,2770966.5486
813.7099999999999,-1.06,300306.0322,2770963.6963
819.31,-1.32,300310.8041,2770960.7656
833.15,-1.86,300322.5975,2770953.5225
843.99,-1.42,300331.8345,2770947.8495
