new_x,elevation,ex_data,ny_data
0.0,48.23,285616.336,2759802.802
1.9499999999999997,46.76,285617.4499,2759801.2014
12.16,40.79,285623.2819,2759792.8211
24.36,40.5,285630.2506,2759782.8074
37.06,34.58,285637.5049,2759772.3833
49.78,34.3,285644.7706,2759761.9427
51.93,33.47,285645.9987,2759760.178
58.3,33.35,285649.6373,2759754.9495
62.73,32.22,285652.1677,2759751.3134
77.14,30.3,285660.3988,2759739.4857
79.59,29.75,285661.7982,2759737.4748
83.46,30.08,285664.0088,2759734.2983
87.86,30.9,285666.5221,2759730.6868
88.81,28.9,285667.0647,2759729.907
96.16,28.9,285671.2631,2759723.8742
100.86,30.35,285673.9478,2759720.0164
108.86,28.85,285678.5174,2759713.4501
113.86,31.25,285681.3734,2759709.3461
114.84,31.68,285681.9332,2759708.5417
116.4,32.28,285682.8243,2759707.2612
119.9,32.35,285684.8235,2759704.3885
126.7,32.83,285688.7077,2759698.807
130.19000000000003,32.46,285690.7012,2759695.9425
139.77,32.15,285696.1734,2759688.0792
142.89000000000001,33.4,285697.9555,2759685.5183
144.18,32.9,285698.6924,2759684.4595
147.19000000000003,33.8,285700.4117,2759681.9889
148.53,34.01,285701.1771,2759680.889
150.89000000000001,34.03,285702.5252,2759678.952
152.49,33.58,285703.4391,2759677.6387
156.19000000000003,33.89,285705.5526,2759674.6017
164.82000000000002,33.96,285710.4821,2759667.5183
169.52,36.63,285713.1667,2759663.6605
171.95000000000002,37.04,285714.5548,2759661.666
179.75,36.4,285719.0102,2759655.2638
188.03,36.52,285723.7397,2759648.4676
195.21,37.22,285727.841,2759642.5742
201.93,41.44,285731.6795,2759637.0585
209.27,41.62,285735.8721,2759631.0338
230.0,42.55,285747.7132,2759614.0187
325.01,42.4,285801.9835,2759536.0348
374.86,42.2,285830.458,2759495.1181
424.86,42.35,285859.0183,2759454.0783
445.34000000000003,42.37,285870.7166,2759437.2683
500.86,43.18,285902.4299,2759391.6977
544.65,48.4,285927.443,2759355.755
