new_x,elevation,ex_data,ny_data
0.0,113.6,276859.04,2748998.291
9.870000000000005,113.31,276867.7412,2748993.6322
10.899999999999977,113.0,276868.6493,2748993.146
12.789999999999964,112.67,276870.3155,2748992.2539
13.949999999999932,112.08,276871.3381,2748991.7064
32.809999999999945,112.06,276887.9648,2748982.8042
33.5,112.44,276888.5731,2748982.4785
59.15999999999997,112.4,276911.1945,2748970.3666
59.52999999999997,111.41,276911.5207,2748970.1919
82.31999999999994,111.47,276931.612,2748959.4347
91.85000000000002,111.73,276940.0135,2748954.9364
93.82999999999993,111.29,276941.759,2748954.0018
96.62,107.4,276944.2187,2748952.6849
106.40999999999997,107.06,276952.8494,2748948.0639
118.75999999999999,107.0,276963.7369,2748942.2345
118.82999999999993,106.29,276963.7986,2748942.2014
120.61000000000001,105.84,276965.3679,2748941.3613
126.66999999999996,105.62,276970.7103,2748938.5008
129.18999999999994,104.83,276972.9319,2748937.3114
131.32999999999993,104.91,276974.8184,2748936.3013
131.93999999999994,104.66,276975.3562,2748936.0133
133.66999999999996,104.73,276976.8813,2748935.1967
134.57999999999993,105.04,276977.6836,2748934.7672
136.25,105.02,276979.1558,2748933.9789
136.82999999999993,104.34,276979.6672,2748933.7052
137.70999999999992,104.4,276980.4429,2748933.2898
138.49,104.69,276981.1306,2748932.9216
139.0,104.65,276981.5802,2748932.6809
139.75,104.34,276982.2414,2748932.3269
140.89,104.2,276983.2464,2748931.7888
146.09000000000003,102.73,276987.8306,2748929.3343
152.79999999999995,102.62,276993.7461,2748926.1671
154.48000000000002,102.32,276995.2271,2748925.3741
156.0,101.55,276996.5671,2748924.6566
161.44999999999993,100.26,277001.3718,2748922.0842
174.63,99.54,277012.991,2748915.863
186.06000000000006,101.34,277023.0675,2748910.4679
196.76999999999987,101.71,277032.5093,2748905.4126
206.35000000000002,101.27,277040.9549,2748900.8907
209.4799999999999,100.79,277043.7142,2748899.4133
219.14999999999998,101.95,277052.2392,2748894.8489
224.44999999999993,100.75,277056.9116,2748892.3472
227.56000000000006,100.4,277059.6533,2748890.8792
228.7499999999999,102.3,277060.7024,2748890.3175
233.82000000000005,101.07,277065.172,2748887.9244
234.2299999999999,99.37,277065.5334,2748887.7309
236.62,100.66,277067.6404,2748886.6028
241.80000000000007,101.31,277072.207,2748884.1578
251.94999999999993,101.02,277081.1551,2748879.3668
261.2900000000001,102.03,277089.3891,2748874.9582
268.01999999999987,101.88,277095.3222,2748871.7815
278.32000000000005,100.79,277104.4025,2748866.9198
286.17999999999995,100.94,277111.3317,2748863.2097
292.69999999999993,99.5,277117.0797,2748860.1322
298.38,99.12,277122.0871,2748857.4511
306.81000000000006,99.05,277129.5188,2748853.472
313.32000000000005,98.82,277135.2579,2748850.3992
320.19999999999993,99.93,277141.3232,2748847.1518
322.13,100.86,277143.0247,2748846.2408
327.01999999999987,101.11,277147.3356,2748843.9326
335.07000000000005,102.13,277154.4324,2748840.1329
337.4899999999999,102.89,277156.5658,2748838.9906
340.64,103.2,277159.3428,2748837.5038
350.56000000000006,103.05,277168.0881,2748832.8214
359.39,103.07,277175.8725,2748828.6535
361.32000000000005,102.38,277177.574,2748827.7425
366.12,102.45,277181.8056,2748825.4768
370.06000000000006,101.88,277185.279,2748823.6171
371.2499999999999,100.86,277186.3281,2748823.0554
372.7499999999999,101.24,277187.6505,2748822.3474
374.7099999999999,100.43,277189.3784,2748821.4222
376.01999999999987,101.52,277190.5333,2748820.8039
379.05000000000007,102.71,277193.2045,2748819.3737
386.30000000000007,103.36,277199.5959,2748815.9516
388.32000000000005,101.38,277201.3767,2748814.9981
394.4799999999999,101.49,277206.8073,2748812.0905
403.19999999999993,100.98,277214.4947,2748807.9745
406.26999999999987,100.24,277217.2012,2748806.5254
407.65999999999997,101.06,277218.4266,2748805.8693
411.86,101.28,277222.1292,2748803.8869
415.4799999999999,100.46,277225.3206,2748802.1782
417.0099999999999,100.72,277226.6694,2748801.456
418.06000000000006,101.38,277227.5951,2748800.9604
426.7299999999999,102.51,277235.2384,2748796.868
430.7599999999999,103.43,277238.7912,2748794.9658
442.67999999999995,103.76,277249.2997,2748789.3394
458.5099999999999,103.56,277263.2551,2748781.8674
459.65,104.18,277264.2601,2748781.3293
464.41999999999996,104.04,277268.4653,2748779.0778
465.9999999999999,103.41,277269.8582,2748778.332
467.6,103.11,277271.2687,2748777.5767
472.9599999999999,103.08,277275.994,2748775.0467
474.93999999999994,103.57,277277.7396,2748774.1122
480.5099999999999,104.32,277282.65,2748771.483
484.85,105.92,277286.4761,2748769.4345
489.2599999999999,106.69,277290.3638,2748767.3529
497.86,110.8,277297.9455,2748763.2936
506.2399999999999,115.4,277305.3331,2748759.3381
511.4,121.63,277309.8821,2748756.9025
519.93,128.2,277317.402,2748752.8762
527.4,132.87,277323.9875,2748749.3502
542.5099999999999,139.12,277337.3082,2748742.2181
547.2299999999999,141.95,277341.4693,2748739.9902
548.7099999999999,144.48,277342.774,2748739.2916
553.7800000000001,144.67,277347.2437,2748736.8985
558.2099999999999,147.66,277351.1491,2748734.8075
569.5099999999999,148.07,277361.111,2748729.4737
586.08,147.82,277375.7188,2748721.6524
599.9399999999999,147.85,277387.9376,2748715.1103
609.0400000000001,147.86,277395.96,2748710.8149
622.0300000000001,148.06,277407.4118,2748704.6835
637.8000000000001,149.14,277421.3143,2748697.2398
646.62,150.68,277429.0899,2748693.0766
646.67,150.84,277429.134,2748693.053
