new_x,elevation,ex_data,ny_data
0.0,10.88,300012.282,2771756.672
0.01,10.79,300012.2894,2771756.6653
0.23,10.77,300012.453,2771756.5181
0.37,10.94,300012.557,2771756.4245
0.45,10.94,300012.6165,2771756.371
0.47000000000000003,10.82,300012.6313,2771756.3576
0.5700000000000001,10.82,300012.7057,2771756.2907
0.63,10.74,300012.7503,2771756.2505
0.74,10.7,300012.832,2771756.1769
14.69,4.06,300023.2005,2771746.8445
16.200000000000003,3.87,300024.3229,2771745.8343
21.180000000000003,3.87,300028.0243,2771742.5027
24.05,3.8,300030.1575,2771740.5827
24.770000000000003,3.51,300030.6926,2771740.101
25.400000000000002,3.53,300031.1609,2771739.6796
26.09,3.79,300031.6737,2771739.218
45.75,3.66,300046.2863,2771726.0655
52.19,3.57,300051.0729,2771721.7572
53.6,3.54,300052.1209,2771720.8139
68.56,3.44,300063.2402,2771710.8058
69.98,3.28,300064.2956,2771709.8558
72.2,3.27,300065.9456,2771708.3707
74.25,3.25,300067.4693,2771706.9992
74.80000000000001,3.25,300067.8781,2771706.6313
76.03,2.91,300068.7923,2771705.8084
76.12,2.73,300068.8592,2771705.7482
77.96000000000001,2.75,300070.2268,2771704.5173
78.49000000000001,3.15,300070.6208,2771704.1627
79.23,3.28,300071.1708,2771703.6676
83.28,2.8,300074.181,2771700.9582
83.51,2.44,300074.352,2771700.8043
84.23,2.55,300074.8871,2771700.3227
84.68,1.78,300075.2216,2771700.0216
86.01,1.75,300076.2101,2771699.1319
87.08,1.31,300077.0054,2771698.416
89.97,0.36,300079.1534,2771696.4826
90.77000000000001,-0.1,300079.748,2771695.9475
94.14,-1.44,300082.2528,2771693.6929
96.69000000000001,-2.32,300084.1482,2771691.987
99.54,-4.65,300086.2665,2771690.0804
104.4,-4.27,300089.8787,2771686.8291
109.83,-3.85,300093.9147,2771683.1964
116.29,-3.28,300098.7161,2771678.8747
123.18,-3.3,300103.8372,2771674.2654
128.29999999999998,-3.41,300107.6427,2771670.8401
132.14,-2.27,300110.4969,2771668.2712
135.13,-1.99,300112.7192,2771666.2709
140.94,-1.95,300117.0376,2771662.384
149.41,-1.91,300123.333,2771656.7177
158.7,-1.74,300130.2379,2771650.5027
165.29,-1.75,300135.1361,2771646.0941
171.14999999999998,-1.65,300139.4916,2771642.1737
177.70999999999998,-1.51,300144.3674,2771637.7852
184.56,-1.49,300149.4587,2771633.2025
191.76,-1.42,300154.8102,2771628.3858
200.98,-1.46,300161.6631,2771622.2177
209.04,-1.57,300167.6538,2771616.8256
218.23,-2.04,300174.4844,2771610.6775
227.31,-1.95,300181.2333,2771604.6031
238.34,-1.61,300189.4315,2771597.2241
247.69,-1.75,300196.381,2771590.969
257.13,-1.68,300203.3974,2771584.6537
264.39,-1.78,300208.7935,2771579.7968
273.61,-1.8,300215.6464,2771573.6287
281.06,-1.78,300221.1837,2771568.6447
291.02,-1.69,300228.5866,2771561.9815
299.67,-1.58,300235.0158,2771556.1947
308.69,-1.37,300241.7201,2771550.1604
317.34,-1.49,300248.1493,2771544.3736
325.96999999999997,-1.64,300254.5637,2771538.6002
334.8,-1.9,300261.1267,2771532.6929
343.71999999999997,-1.92,300267.7566,2771526.7255
355.11,-2.13,300276.2224,2771519.1057
364.07,-2.35,300282.882,2771513.1115
370.86,-2.64,300287.9288,2771508.569
379.65999999999997,-2.63,300294.4695,2771502.6819
384.03999999999996,-2.48,300297.725,2771499.7517
390.81,-2.61,300302.7569,2771495.2226
399.92,-2.67,300309.528,2771489.1281
411.0,-2.75,300317.7634,2771481.7156
419.43,-3.01,300324.0291,2771476.076
