new_x,elevation,ex_data,ny_data
0.0,10.86,298282.1175,2770983.813
0.05,10.91,298282.1271,2770983.7639
0.53,10.88,298282.2193,2770983.2929
16.6,4.06,298285.3046,2770967.5218
20.61,3.98,298286.0745,2770963.5864
20.740000000000002,3.98,298286.0995,2770963.4589
20.76,3.78,298286.1033,2770963.4392
20.91,3.78,298286.1321,2770963.292
20.96,2.94,298286.1417,2770963.243
21.76,2.94,298286.2953,2770962.4578
21.77,3.64,298286.2973,2770962.448
25.07,3.77,298286.9308,2770959.2094
28.810000000000002,3.83,298287.6489,2770955.539
34.019999999999996,3.76,298288.6492,2770950.4259
36.86,3.72,298289.1945,2770947.6388
36.87,2.94,298289.1964,2770947.629
37.669999999999995,2.94,298289.35,2770946.8438
37.72,3.89,298289.3596,2770946.7948
41.58,3.79,298290.1007,2770943.0066
41.589999999999996,3.75,298290.1026,2770942.9968
43.739999999999995,3.42,298290.5154,2770940.8868
46.919999999999995,3.32,298291.126,2770937.7659
49.64,3.29,298291.6482,2770935.0965
49.65,3.23,298291.6501,2770935.0867
60.089999999999996,3.1,298293.6546,2770924.841
70.63,2.91,298295.6782,2770914.497
79.53,2.81,298297.387,2770905.7626
96.27,2.7,298300.601,2770889.3341
100.42,2.65,298301.3978,2770885.2613
106.66,2.66,298302.5958,2770879.1374
112.39999999999999,2.72,298303.6979,2770873.5042
119.73,3.11,298305.1052,2770866.3105
128.87,3.62,298306.86,2770857.3406
137.55,3.95,298308.5266,2770848.8221
147.42000000000002,4.19,298310.4216,2770839.1357
149.61,2.0,298310.8421,2770836.9864
150.33,1.2,298310.9803,2770836.2798
154.67000000000002,1.34,298311.8136,2770832.0206
155.27,0.74,298311.9287,2770831.4317
160.27,1.04,298312.8887,2770826.5248
172.45000000000002,0.28,298315.2272,2770814.5714
174.57000000000002,0.66,298315.6343,2770812.4908
176.23000000000002,0.79,298315.953,2770810.8617
177.23000000000002,0.39,298316.145,2770809.8803
192.99,0.79,298319.1708,2770794.4135
195.01000000000002,1.21,298319.5587,2770792.4311
223.37,1.05,298325.0037,2770764.5987
251.41000000000003,1.91,298330.3873,2770737.0804
275.44,2.34,298335.0009,2770713.4975
299.15000000000003,1.98,298339.5532,2770690.2286
326.79,1.8,298344.8599,2770663.1028
343.45,1.72,298348.0586,2770646.7528
354.32,1.35,298350.1456,2770636.085
364.51,1.51,298352.102,2770626.0846
378.86,0.47,298354.8572,2770612.0015
397.19,-0.75,298358.3765,2770594.0126
420.99,-0.52,298362.946,2770570.6554
441.95,-0.97,298366.9702,2770550.0853
464.11,-1.27,298371.2249,2770528.3376
469.93,-1.28,298372.3423,2770522.6259
479.24,-1.33,298374.1298,2770513.4891
482.94,-1.45,298374.8401,2770509.8579
486.94,-1.47,298375.6081,2770505.9323
490.92,-1.78,298376.3723,2770502.0264
494.96000000000004,-1.92,298377.1479,2770498.0615
498.72,-2.02,298377.8698,2770494.3715
502.82,-1.99,298378.657,2770490.3478
506.85,-2.17,298379.4308,2770486.3928
510.74,-2.2,298380.1776,2770482.5751
514.79,-2.12,298380.9552,2770478.6005
518.43,-2.16,298381.6541,2770475.0282
522.43,-2.22,298382.4221,2770471.1026
526.28,-2.13,298383.1613,2770467.3242
530.3199999999999,-2.34,298383.9369,2770463.3594
534.04,-2.36,298384.6511,2770459.7086
538.02,-2.34,298385.4153,2770455.8027
542.0999999999999,-1.86,298386.1986,2770451.7986
546.37,-1.91,298387.0185,2770447.608
550.1899999999999,-1.74,298387.7519,2770443.8591
554.1999999999999,-1.27,298388.5218,2770439.9237
558.1999999999999,-1.43,298389.2898,2770435.9981
562.25,-1.29,298390.0674,2770432.0235
566.3499999999999,-1.47,298390.8545,2770427.9997
570.05,-1.43,298391.5649,2770424.3686
573.88,-1.59,298392.3003,2770420.6098
577.8299999999999,-1.78,298393.0587,2770416.7333
581.6099999999999,-1.86,298393.7844,2770413.0236
585.24,-1.91,298394.4814,2770409.4612
589.0,-2.04,298395.2033,2770405.7711
592.88,-1.98,298395.9482,2770401.9633
596.79,-2.09,298396.6989,2770398.1261
600.52,-2.16,298397.4151,2770394.4655
604.2199999999999,-2.25,298398.1254,2770390.8343
608.0899999999999,-2.38,298398.8685,2770387.0363
612.06,-2.29,298399.6307,2770383.1401
615.99,-1.76,298400.3852,2770379.2833
619.9799999999999,-1.47,298401.1513,2770375.3675
623.9399999999999,-2.11,298401.9116,2770371.4812
628.0,-2.37,298402.6911,2770367.4967
631.9699999999999,-2.85,298403.4533,2770363.6006
635.88,-2.89,298404.204,2770359.7633
639.66,-2.99,298404.9298,2770356.0536
643.78,-3.04,298405.7208,2770352.0103
647.8499999999999,-3.18,298406.5022,2770348.016
651.8399999999999,-3.28,298407.2683,2770344.1002
655.75,-3.42,298408.019,2770340.263
659.68,-3.83,298408.7736,2770336.4061
663.77,-4.37,298409.5588,2770332.3922
667.79,-4.18,298410.3306,2770328.447
671.64,-4.41,298411.0698,2770324.6686
675.76,-4.1,298411.8609,2770320.6253
679.87,-2.78,298412.65,2770316.5917
683.76,-1.29,298413.3968,2770312.7741
687.7099999999999,-0.09,298414.1552,2770308.8976
696.8399999999999,1.03,298415.9081,2770299.9374
701.2199999999999,2.19,298416.7491,2770295.6389
711.3499999999999,2.56,298418.694,2770285.6974
724.74,2.92,298421.2648,2770272.5565
747.16,2.35,298425.5694,2770250.5536
762.0999999999999,2.03,298428.4378,2770235.8916
762.8,1.43,298428.5722,2770235.2046
763.4,1.43,298428.6874,2770234.6158
763.8,2.13,298428.7642,2770234.2232
771.89,1.8,298430.3174,2770226.2837
791.31,1.79,298434.046,2770207.225
809.03,1.81,298437.4482,2770189.8347
821.4,2.06,298439.8232,2770177.6948
824.9499999999999,3.02,298440.5048,2770174.2109
833.74,3.6,298442.1924,2770165.5844
843.0699999999999,3.65,298443.9837,2770156.428
856.56,3.7,298446.5738,2770143.189
867.14,3.76,298448.6051,2770132.8058
886.41,3.81,298452.3048,2770113.8943
893.92,3.68,298453.7467,2770106.524
901.39,3.8,298455.181,2770099.193
913.87,3.92,298457.5771,2770086.9452
927.74,4.08,298460.2401,2770073.3333
939.04,4.13,298462.4096,2770062.2435
946.12,4.21,298463.7689,2770055.2952
948.9599999999999,4.3,298464.3142,2770052.508
951.41,4.38,298464.7846,2770050.1036
951.42,4.16,298464.7865,2770050.0938
951.8,4.16,298464.8595,2770049.7209
951.81,4.38,298464.8614,2770049.7111
951.8599999999999,4.33,298464.8705,2770049.662
