point,system,mode,Ordinate-N(Y),Abscissa-E(X),Rel-0-points
淡000,97, GPS,2784579.023,291985.559,242.29
,67, 轉換,2784782.778,291154.969,
, 地籍, 轉換,113622.976,73897.502,
淡001,97, GPS,2783852.907,292276.771,-149
,67, 轉換,2784056.663,291446.185,
, 地籍, 轉換,112897.578,74190.307,
淡002,97, GPS,2783802.43,292824.222,-0.84
,67, 轉換,2784006.188,291993.631,
, 地籍, 轉換,112848.349,74737.749,
淡003,97, 支距,2783612.502,293456.685,76.26
,67, 轉換,2783816.252,292626.09,
, 地籍, 轉換,112659.885,75370.502,
淡004,97, GPS,2783169.252,293990.167,-84.18
,67, 轉換,2783372.989,293159.574,
, 地籍, 轉換,112217.915,75904.882,
淡005,97, GPS,2782853.748,294381.288,-10.79
,67, 轉換,2783057.485,293550.696,
, 地籍, 轉換,111903.36,76296.642,
淡006,97, GPS,2782172.265,294925.399,17.07
,67, 轉換,2782376.004,294094.817,
, 地籍, 轉換,111223.258,76842.211,
淡007,97, GPS,2781797.955,295071.195,26.82
,67, 轉換,2782001.696,294240.62,
, 地籍, 轉換,110849.353,76988.849,
淡008,97, GPS,2781397.067,295286.747,38.43
,67, 轉換,2781600.815,294456.18,
, 地籍, 轉換,110449.033,77205.3,
淡009,97, GPS,2780653.878,295570.464,-0.03
,67, 轉換,2780857.642,294739.902,
, 地籍, 轉換,109706.651,77490.715,
淡010,97, GPS,2779981.197,295581.217,-35.2
,67, 轉換,2780184.972,294750.625,
, 地籍, 轉換,109034.135,77503.056,
淡010A,97, GPS,2779611.227,295849.102,2.41
,67, 轉換,2779815.03,295018.489,
, 地籍, 轉換,108664.88,77771.773,
淡011,97, 支距,2779349.884,295922.948,26.79
,67, 轉換,2779553.709,295092.314,
, 地籍, 轉換,108403.769,77846.229,
淡012,97, GPS,2778737.3,296186.7,-0.01
,67, 轉換,2778941.19,295356.014,
, 地籍, 轉換,107791.933,78111.395,
淡013,97, GPS,2777999.277,296019.229,-0.17
,67, 轉換,2778203.169,295188.527,
, 地籍, 轉換,107053.605,77945.656,
淡014,97, GPS,2776945.401,296731.751,43.19
,67, 轉換,2777149.255,295901.048,
, 地籍, 轉換,106001.387,78660.464,
淡015,97, GPS,2776778.494,297441.07,118.32
,67, 轉換,2776982.353,296610.355,
, 地籍, 轉換,105836.1,79370.047,
淡016,97, GPS,2776598.997,298158.54,39.89
,67, 轉換,2776802.855,297327.812,
, 地籍, 轉換,105658.236,80087.804,
淡017,97, GPS,2776438.236,298645.094,-96.55
,67, 轉換,2776642.091,297814.358,
, 地籍, 轉換,105498.576,80574.629,
淡018,97, GPS,2776183.749,299193.631,-158.16
,67, 轉換,2776387.607,298362.886,
, 地籍, 轉換,105245.305,81123.618,
淡019,97, GPS,2775973.828,299538.849,37.87
,67, 轉換,2776177.686,298708.104,
, 地籍, 轉換,105036.131,81469.213,
淡020,97, GPS,2775544.725,300009.677,39.33
,67, 轉換,2775748.585,299178.938,
, 地籍, 轉換,104607.996,81940.822,
淡020A,97, GPS,2775324.891,300265.197,79.16
,67, 轉換,2775528.753,299434.463,
, 地籍, 轉換,104388.671,82196.724,
淡021,97, GPS,2775087.119,300334.685,38.6
,67, 轉換,2775290.979,299503.96,
, 地籍, 轉換,104151.007,82266.687,
淡022,97, GPS,2774519.933,300629.595,79.67
,67, 轉換,2774723.796,299798.894,
, 地籍, 轉換,103584.355,82562.715,
淡022A,97, 支距,2774499.826,300637.879,-0.04
,67, 轉換,2774703.689,299807.179,
, 地籍, 轉換,103564.262,82571.038,
