point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),Rel-0-points,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X)
淡000,97,GPS,"2,784,579.02","291,985.56",242.29,支距,2785395.202,292498.6
,67,轉換,"2,784,782.78","291,154.97",,轉換,2785598.954,291667.996
, 地籍,轉換,"113,622.98","73,897.50",,轉換,114440.22,74408.544
淡001,97,GPS,"2,783,852.91","292,276.77",-149, GPS,2785319.552,293151.526
,67,轉換,"2,784,056.66","291,446.19",, 轉換,2785523.312,292320.916
, 地籍,轉換,"112,897.58","74,190.31",, 轉換,114366.045,75061.498
淡002,97,GPS,"2,783,802.43","292,824.22",-0.84, 支距,2785095.584,293733.041
,67,轉換,"2,784,006.19","291,993.63",, 轉換,2785299.349,292902.424
, 地籍,轉換,"112,848.35","74,737.75",, 轉換,114143.422,75643.4
淡003,97,支距,"2,783,612.50","293,456.69",76.26, GPS,2784687.045,294243.169
,67,轉換,"2,783,816.25","292,626.09",, 轉換,2784890.813,293412.55
, 地籍,轉換,"112,659.89","75,370.50",, 轉換,113736.093,76154.344
淡004,97,GPS,"2,783,169.25","293,990.17",-84.18, GPS,2784311.809,294905.041
,67,轉換,"2,783,372.99","293,159.57",, 轉換,2784515.581,294074.419
, 地籍,轉換,"112,217.92","75,904.88",, 轉換,113362.422,76816.918
淡005,97,GPS,"2,782,853.75","294,381.29",-10.79, GPS,2783770.908,295581.627
,67,轉換,"2,783,057.49","293,550.70",, 轉換,2783974.687,294751.001
, 地籍,轉換,"111,903.36","76,296.64",, 轉換,112823.167,77494.591
淡006,97,GPS,"2,782,172.27","294,925.40",17.07, GPS,2782766.847,296290.649
,67,轉換,"2,782,376.00","294,094.82",, 轉換,2782970.641,295460.038
, 地籍,轉換,"111,223.26","76,842.21",, 轉換,111820.915,78205.78
淡007,97,GPS,"2,781,797.96","295,071.20",26.82, GPS,2782101.683,296339.474
,67,轉換,"2,782,001.70","294,240.62",, 轉換,2782305.473,295508.892
, 地籍,轉換,"110,849.35","76,988.85",, 轉換,111155.971,78256.145
淡008,97,GPS,"2,781,397.07","295,286.75",38.43, GPS,2781470.851,296346.036
,67,轉換,"2,781,600.82","294,456.18",, 轉換,2781674.637,295515.482
, 地籍,轉換,"110,449.03","77,205.30",, 轉換,110525.275,78264.2
淡009,97,GPS,"2,780,653.88","295,570.46",-0.03, GPS,2780705.472,296303.679
,67,轉換,"2,780,857.64","294,739.90",, 轉換,2780909.265,295473.146
, 地籍,轉換,"109,706.65","77,490.72",, 轉換,109759.953,78223.671
淡010,97,GPS,"2,779,981.20","295,581.22",-35.2, GPS,2780166.514,296327.046
,67,轉換,"2,780,184.97","294,750.63",, 轉換,2780370.322,295496.491
, 地籍,轉換,"109,034.14","77,503.06",, 轉換,109221.169,78248.318
淡010A,97,GPS,"2,779,611.23","295,849.10",2.41, GPS,2780000.936,296464.47
,67,轉換,"2,779,815.03","295,018.49",, 轉換,2780204.758,295633.904
, 地籍,轉換,"108,664.88","77,771.77",, 轉換,109055.949,78386.116
淡011,97,支距,"2,779,349.88","295,922.95",26.79, GPS,2779537.127,296537.045
