point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),L-Rel-0-points,L-Elevation,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X),R-Rel-0-points,R-Elevation
淡000,97,GPS,2784579.02300000000 ,291985.55900000000 ,242.29,4.03141837776 ,支距,2785395.20150000000 ,292498.59950000000 ,1206.32210449776 ,4.59583830127 
,67,轉換,2784782.77800000000 ,291154.96900000000 ,,,轉換,2785598.95400000000 ,291667.99600000000 ,,
, 地籍,轉換,113622.97636363600 ,73897.50181818180 ,,,轉換,114440.22000000000 ,74408.54363636360 ,,
淡001,97,GPS,2783852.90700000000 ,292276.77100000000 ,-149,2.39491463994 , GPS,2785319.55200000000 ,293151.52600000000 ,1558.70133982792 ,3.02447486465 
,67,轉換,2784056.66300000000 ,291446.18500000000 ,,, 轉換,2785523.31200000000 ,292320.91600000000 ,,
, 地籍,轉換,112897.57818181800 ,74190.30727272730 ,,, 轉換,114366.04545454500 ,75061.49818181820 ,,
淡002,97,GPS,2783802.43000000000 ,292824.22200000000 ,-0.84,3.32980834711 , 支距,2785095.58400000000 ,293733.04050000000 ,1579.72899047694 ,4.14757232972 
,67,轉換,2784006.18800000000 ,291993.63100000000 ,,, 轉換,2785299.34900000000 ,292902.42400000000 ,,
, 地籍,轉換,112848.34909090900 ,74737.74909090910 ,,, 轉換,114143.42181818200 ,75643.40000000000 ,,
淡003,97,支距,2783612.50150000000 ,293456.68500000000 ,76.26,4.64280400006 , GPS,2784687.04500000000 ,294243.16900000000 ,1407.87586639975 ,3.27777837399 
,67,轉換,2783816.25200000000 ,292626.09000000000 ,,, 轉換,2784890.81300000000 ,293412.55000000000 ,,
, 地籍,轉換,112659.88545454500 ,75370.50181818180 ,,, 轉換,113736.09272727300 ,76154.34363636360 ,,
淡004,97,GPS,2783169.25200000000 ,293990.16700000000 ,-84.18,13.74492756095 , GPS,2784311.80900000000 ,294905.04100000000 ,1379.52452418686 ,3.72663906576 
,67,轉換,2783372.98900000000 ,293159.57400000000 ,,, 轉換,2784515.58100000000 ,294074.41900000000 ,,
, 地籍,轉換,112217.91454545500 ,75904.88181818180 ,,, 轉換,113362.42181818200 ,76816.91818181820 ,,
淡005,97,GPS,2782853.74800000000 ,294381.28800000000 ,-10.79,5.69967934515 , GPS,2783770.90800000000 ,295581.62700000000 ,1499.83774386027 ,4.89606852704 
,67,轉換,2783057.48500000000 ,293550.69600000000 ,,, 轉換,2783974.68700000000 ,294751.00100000000 ,,
, 地籍,轉換,111903.36000000000 ,76296.64181818180 ,,, 轉換,112823.16727272700 ,77494.59090909090 ,,
淡006,97,GPS,2782172.26500000000 ,294925.39900000000 ,17.07,8.23776250275 , GPS,2782766.84700000000 ,296290.64900000000 ,1506.17554267450 ,10.11302468112 
,67,轉換,2782376.00400000000 ,294094.81700000000 ,,, 轉換,2782970.64100000000 ,295460.03800000000 ,,
, 地籍,轉換,111223.25818181800 ,76842.21090909090 ,,, 轉換,111820.91454545500 ,78205.78000000000 ,,
淡007,97,GPS,2781797.95500000000 ,295071.19500000000 ,26.82,4.38535849836 , GPS,2782101.68300000000 ,296339.47400000000 ,1330.96045249161 ,9.15783862179 
,67,轉換,2782001.69600000000 ,294240.62000000000 ,,, 轉換,2782305.47300000000 ,295508.89200000000 ,,
, 地籍,轉換,110849.35272727300 ,76988.84909090910 ,,, 轉換,111155.97090909100 ,78256.14545454540 ,,
淡008,97,GPS,2781397.06700000000 ,295286.74700000000 ,38.43,2.60215564170 , GPS,2781470.85100000000 ,296346.03600000000 ,1100.28557595047 ,7.09541876392 
,67,轉換,2781600.81500000000 ,294456.18000000000 ,,, 轉換,2781674.63700000000 ,295515.48200000000 ,,
, 地籍,轉換,110449.03272727300 ,77205.30000000000 ,,, 轉換,110525.27454545500 ,78264.20000000000 ,,
淡009,97,GPS,2780653.87800000000 ,295570.46400000000 ,-0.03,3.50308730819 , GPS,2780705.47200000000 ,296303.67900000000 ,734.99801107240 ,4.47157190747 
,67,轉換,2780857.64200000000 ,294739.90200000000 ,,, 轉換,2780909.26500000000 ,295473.14600000000 ,,
