x,y
-65.23,2.65
-55.88,2.63
-55.65,1.93
-55.27,2.08
-55.12,3.04
-54.65,3.27
-52.32,3.19
-52.3,3.04
-51.68,3.07
-45.93,3.01
-40.94,2.79
-40.01,2.81
-39.9,2.81
-39.88,3.58
-39.68,3.58
-37.98,3.58
-37.76,3.58
-37.75,3.15
-37.31,3.15
-37.3,2.79
-36.54,2.78
-32.18,2.8
-32.17,3.11
-31.9,3.11
-31.89,3.61
-31.67,3.61
-29.76,3.61
-29.56,3.61
-29.55,2.78
-25.52,2.69
-21.0,2.52
-20.25,2.52
-20.24,3.86
-20.03,3.86
-20.02,3.21
-18.13,4.31
-11.24,7.63
-5.31,10.56
-5.3,10.79
-4.94,10.79
-4.93,10.62
-2.4,10.69
-0.01,10.73
-0.01,10.88
-0.01,10.73
0.21,10.69
0.22,10.86
0.51,10.86
0.52,10.64
0.62,10.64
7.95,7.09
14.06,4.14
14.31,4.14
14.32,4.72
14.52,4.72
14.53,3.95
16.08,3.86
20.94,3.83
24.02,3.75
24.61,3.48
25.39,3.45
25.8,3.77
26.74,3.81
34.13,3.84
43.46,3.76
51.61,3.54
51.98,3.44
53.13,3.49
53.41,3.5
56.94,3.44
62.3,3.4
62.54,3.17
63.02,3.18
63.26,3.41
67.45,3.5
68.44,3.43
71.38,3.39
74.08,2.83
74.68,2.83
75.08,2.83
75.1,2.98
77.96,3.02
79.11,2.68
80.11,-0.02
86.69,-0.36
92.76,-0.99
96.78,-1.59
100.8,-2.23
106.15,-2.54
111.91,-2.73
118.05,-2.72
123.92,-2.4
129.73,-2.31
135.23,-2.27
140.9,-2.19
146.52,-2.17
152.14,-2.22
156.57,-2.18
162.72,-2.17
168.76,-1.81
174.67,-2.07
180.43,-2.0
186.11,-2.02
191.84,-2.09
198.01,-2.05
204.12,-2.07
209.98,-2.03
215.62,-1.99
221.13,-1.92
226.55,-1.89
232.03,-1.83
237.73,-1.75
243.72,-1.59
249.73,-1.57
255.72,-1.52
261.89,-1.56
268.09,-1.72
274.1,-2.43
280.3,-2.51
286.42,-2.59
292.52,-2.58
298.64,-2.63
304.76,-2.57
310.89,-2.57
316.96,-2.32
322.99,-2.44
329.02,-2.42
335.1,-2.34
341.14,-2.25
347.24,-2.22
353.35,-1.96
359.42,-1.97
365.52,-2.0
371.64,-2.14
377.59,-2.22
383.8,-2.34
390.8,-2.48
398.36,-2.66
405.94,-2.73
412.27,-2.69
418.38,-2.91
424.45,-3.11
430.57,-3.16
436.69,-3.1
442.79,-3.25
448.86,-3.39
454.96,-3.37
460.99,-3.36
467.1,-3.29
473.21,-3.32
479.38,-3.31
485.49,-3.48
491.54,-3.39
497.47,-3.35
503.38,-3.58
509.42,-3.46
515.45,-3.53
521.51,-2.17
527.51,-0.75
528.65,0.34
532.01,2.98
539.43,3.56
548.46,3.23
556.24,3.66
564.96,3.43
571.2,2.89
577.81,2.91
583.13,2.95
588.15,2.81
596.11,2.68
601.86,2.76
607.87,2.81
614.55,2.53
624.62,2.87
631.61,2.61
641.06,3.12
651.22,3.22
659.11,3.09
667.91,3.12
676.28,2.89
683.43,2.78
690.69,3.01
697.21,2.61
704.61,2.78
711.53,2.41
714.09,1.89
722.88,2.09
729.23,1.98
739.02,1.87
746.02,1.45
754.57,1.69
760.12,0.67
764.55,-0.91
768.44,-1.02
774.52,-0.75
780.61,-0.76
786.6,-0.84
792.6,-0.81
798.68,-0.88
804.75,-0.8
810.8,-0.46
816.68,0.0
820.69,0.01
824.23,-0.66
826.22,-0.81
831.99,0.12
837.74,1.09
846.52,0.87
852.94,0.45
863.09,0.98
871.15,0.71
878.17,0.97
882.21,1.01
886.87,0.67
892.81,0.19
898.73,-0.02
904.4,-0.34
910.49,-0.52
916.4,-0.79
921.94,-1.06
927.93,-1.22
934.04,-1.6
940.15,-1.76
946.63,-1.85
953.0,-2.01
959.29,-2.2
965.47,-2.39
971.69,-2.52
977.82,-2.69
983.93,-2.66
989.78,-2.75
995.88,-2.82
1002.02,-2.8
1008.09,-2.88
1012.0,-2.87
1015.92,-1.72
1017.4,-0.9
1021.33,-0.4
1022.83,0.11
1024.83,2.23
1027.23,2.73
1028.79,2.47
1030.97,2.5
1030.97,2.52
1030.97,2.5
1031.29,2.5
1031.3,2.82
1031.65,2.82
1031.66,2.62
1032.45,2.82
1033.5,2.87
1034.34,2.82
1036.68,2.84
1038.99,2.83
1042.77,3.11
1044.43,3.16
1045.09,2.83
1045.38,2.87
1046.4,3.42
1051.3,3.54
1054.92,3.34
1056.64,2.93
1057.97,3.08
1060.46,3.11
1063.19,3.15
1064.87,3.03
1065.57,3.33
1067.95,3.57
1069.2,7.56
1069.21,11.06
1069.81,11.06
1069.83,4.34
1078.12,4.24
