x,y
-113.42,3.88
-111.17,3.89
-110.52,3.71
-102.09,4.11
-101.95,4.4
-101.61,4.41
-101.52,4.13
-97.84,4.09
-90.72,3.88
-90.14,3.87
-90.09,4.0
-88.46,4.05
-81.85,4.53
-79.27,5.08
-77.05,5.34
-73.8,4.92
-67.56,5.02
-59.31,5.07
-56.47,5.03
-51.47,3.44
-49.28,3.42
-49.21,3.29
-48.59,3.34
-42.04,3.48
-41.94,3.82
-38.36,3.85
-30.25,3.74
-22.32,3.66
-19.38,3.63
-19.29,3.33
-12.45,3.08
-11.88,3.04
-11.77,3.19
-11.66,3.19
-11.58,7.69
-10.95,7.7
-10.9,8.18
-10.7,8.18
-5.97,10.97
-4.98,10.96
-0.02,11.09
-0.02,10.94
-0.02,10.94
0.8,11.17
15.4,4.17
16.27,4.13
16.4,4.13
16.54,3.51
16.68,3.5
16.72,3.35
18.33,3.3
18.42,3.33
18.44,3.03
24.72,2.96
32.65,2.43
35.38,2.93
46.52,3.25
57.8,3.42
69.82,3.51
80.23,3.6
92.14,3.62
105.44,3.66
114.11,2.76
119.13,2.16
119.96,0.85
126.86,0.14
135.95,-0.08
145.49,-0.26
150.08,-0.4
159.4,-0.41
166.6,-0.55
175.11,-0.73
177.2,-0.81
179.78,-0.85
183.17,-0.82
187.19,-1.01
189.32,-1.01
194.06,-0.82
197.54,-0.91
201.98,-0.71
206.68,-0.78
210.33,-0.78
212.0,-0.53
216.72,-0.88
219.98,-0.82
224.75,-0.87
228.16,-1.08
231.64,-1.18
237.27,-1.23
240.87,-1.3
244.77,-1.54
249.05,-1.8
253.33,-1.81
259.22,-2.62
263.42,-2.62
268.09,-2.67
271.38,-2.59
273.62,-2.35
279.17,-2.29
283.4,-2.4
287.19,-3.04
290.94,-3.05
296.89,-3.25
301.43,-3.42
305.74,-3.41
309.42,-3.34
315.19,-3.52
320.7,-3.35
326.1,-2.87
330.74,-2.8
334.41,-2.55
338.53,-2.46
344.45,-2.39
348.83,-2.39
353.65,-3.18
358.13,-3.28
362.07,-3.15
366.8,-2.7
369.07,-2.9
375.6,-2.9
379.94,-2.9
385.03,-2.65
389.48,-2.62
394.48,-2.6
398.55,-2.72
404.26,-2.88
409.85,-3.02
412.86,-3.01
419.61,-2.92
424.77,-2.92
428.84,-2.76
433.35,-2.62
438.11,-2.56
442.28,-2.53
447.35,-2.54
451.87,-2.98
454.29,-2.87
460.96,-2.56
465.61,-2.58
472.31,-2.72
476.81,-2.7
482.04,-2.71
486.56,-2.76
491.67,-2.72
495.88,-2.7
501.71,-2.59
505.22,-2.78
509.87,-2.78
514.51,-2.7
520.94,-2.58
525.41,-2.54
529.92,-2.51
534.92,-2.4
538.89,-2.39
544.73,-2.34
550.87,-2.31
555.15,-2.27
560.23,-2.11
565.29,-1.2
569.81,-0.78
575.21,-0.79
584.32,-0.64
591.91,-0.52
598.88,-0.57
601.6,-0.65
608.66,-0.4
610.0,0.32
613.05,0.92
617.7,1.81
621.59,1.83
630.35,1.89
635.02,2.02
644.75,1.77
650.3,1.72
656.75,1.53
665.1,1.51
674.68,1.63
680.05,1.45
685.73,1.42
691.36,1.4
700.76,1.52
705.59,1.63
715.55,1.81
725.32,1.75
730.35,2.03
739.47,1.98
745.94,2.25
750.52,1.78
755.59,1.92
764.1,1.64
770.45,1.59
780.85,1.93
786.18,1.97
794.68,1.74
799.79,1.44
804.32,1.53
810.58,1.53
820.91,1.37
826.4,1.48
835.7,1.53
840.98,1.43
850.05,1.3
855.03,1.44
860.55,1.41
866.39,1.32
875.5,1.22
885.57,1.32
886.0,1.17
890.37,1.45
891.3,1.29
900.67,1.62
906.14,1.64
915.1,1.78
920.16,1.4
925.5,1.63
931.71,1.73
940.37,1.81
950.94,1.39
954.06,1.32
960.71,1.34
965.96,1.37
974.65,1.13
980.51,1.26
986.13,1.14
995.28,1.12
1001.74,0.9
1010.76,0.99
1017.42,0.75
1023.1,0.47
1027.46,0.33
1029.51,-0.06
1032.48,-0.03
1036.71,-0.38
1038.76,-1.0
1041.79,-0.82
1050.47,-0.65
1059.51,-0.34
1064.24,-0.24
1068.69,-0.19
1075.49,1.35
1078.65,1.63
1085.37,1.66
1090.87,1.65
1100.21,1.5
1106.58,1.35
1114.19,1.26
1120.07,1.15
1125.47,1.14
1130.79,1.13
1140.86,0.7
1150.89,0.68
1153.96,0.74
1155.67,0.81
1164.37,0.7
1168.49,2.85
1168.98,2.81
1169.17,2.81
1169.17,2.81
1169.17,2.83
1170.58,2.84
1172.22,3.23
1176.24,3.29
1177.26,3.35
1182.7,3.56
1184.6,3.59
1185.5,3.64
1186.77,7.91
1186.79,11.28
1187.29,11.28
1187.3,4.21
1191.87,3.52
1191.97,3.51
1192.68,4.28
1199.14,4.25
