x,y
-24.91,4.11
-19.82,4.1
-19.75,2.92
-19.18,2.93
-15.78,2.97
-15.64,3.21
-15.28,3.2
-15.22,10.63
-14.68,10.63
-14.46,6.54
0.0,6.36
0.0,6.56
0.0,6.36
0.68,6.26
6.92,3.22
15.29,3.19
15.34,2.96
18.87,2.95
22.17,2.04
22.84,1.15
27.97,0.3
32.39,-0.29
35.97,-0.79
40.72,-0.96
42.71,-2.04
43.76,-1.62
47.07,-2.22
47.94,-3.63
53.63,-3.52
60.02,-3.43
66.24,-3.41
72.83,-3.46
79.79,-3.38
86.94,-3.35
94.32,-3.37
99.39,-3.45
106.91,-3.44
111.95,-3.38
119.32,-3.22
124.32,-3.16
129.37,-3.23
134.43,-3.16
139.44,-2.95
144.63,-2.96
149.8,-2.84
154.97,-2.78
160.09,-2.73
165.27,-2.67
170.51,-2.66
174.75,-2.55
179.81,-2.63
184.52,-2.6
189.55,-2.5
194.82,-2.41
199.47,-2.47
205.24,-2.37
210.56,-2.33
216.86,-2.19
222.23,-2.06
227.93,-1.71
233.26,-1.69
238.81,-1.48
244.11,-1.3
249.81,-1.17
255.19,-0.94
260.36,-0.69
267.79,-0.43
274.75,-0.31
279.75,-0.29
284.94,-0.58
289.7,-1.1
295.01,-1.8
300.24,-2.12
305.4,-2.26
310.78,-2.31
316.01,-2.45
321.28,-2.48
326.44,-2.46
330.86,-2.61
335.94,-2.6
341.02,-2.62
346.06,-2.97
353.44,-2.79
359.18,-2.74
364.49,-2.81
369.51,-2.79
374.79,-2.82
379.92,-2.78
385.09,-2.82
390.57,-2.77
397.98,-2.57
403.08,-2.63
408.09,-2.68
415.5,-2.72
422.73,-2.69
429.73,-2.55
436.19,-2.47
442.7,-2.38
449.7,-2.29
456.78,-2.06
463.98,-1.88
471.22,-1.59
478.59,-1.45
485.98,-1.34
493.37,-1.33
500.21,-1.26
507.6,-1.19
514.59,-1.36
521.62,-1.44
528.66,-1.52
535.29,-1.52
541.43,-1.73
548.12,-1.88
553.9,-2.01
559.78,-1.9
566.56,-2.08
573.45,-2.05
580.64,-2.19
585.96,-2.15
592.61,-2.28
597.68,-2.19
604.4,-2.06
611.62,-2.2
619.76,-2.23
629.98,-2.23
638.79,-2.08
644.14,-0.84
647.87,-0.24
650.44,-0.47
650.57,0.11
652.87,0.37
656.67,1.21
658.33,2.62
659.41,2.62
659.43,3.13
659.77,3.13
659.81,2.88
659.85,3.13
659.87,2.9
660.11,3.14
660.17,2.65
662.35,2.63
662.47,2.49
662.47,2.49
662.47,2.69
662.93,2.62
667.7,2.95
672.21,2.98
676.1,3.25
690.09,3.18
696.87,2.87
702.11,2.87
720.43,2.9
726.24,2.87
729.33,2.85
734.07,2.79
737.61,2.71
738.5,2.74
758.32,2.79
761.71,2.76
778.8,3.06
790.67,2.98
792.94,2.88
793.94,2.92
794.37,2.93
795.94,2.96
801.95,3.1
803.38,7.58
803.41,11.05
803.99,11.05
804.07,3.98
808.28,3.98
813.62,3.91
822.75,3.88
822.82,5.54
823.15,5.54
823.21,4.97
823.49,4.98
823.59,4.16
824.12,4.16
824.27,3.86
833.67,3.57
834.7,3.57
834.95,3.74
836.27,3.74
