x,y
-11.49,95.27
-11.49,95.0
-1.13,95.08
0.0,94.9
2.59,88.64
9.09,87.77
15.65,87.78
27.18,87.79
32.38,86.79
69.58,86.88
70.87,88.08
82.36,88.11
82.8,88.47
83.31,88.45
84.11,87.24
88.98,86.0
100.77,86.03
105.04,83.88
126.8,83.62
140.69,84.1
147.91,84.03
151.49,85.78
168.79,86.47
169.13,87.42
177.64,82.72
187.54,82.89
189.27,80.01
194.19,83.65
201.78,79.34
205.71,80.84
210.83,78.93
219.9,77.91
225.69,76.98
233.24,77.74
240.3,75.87
246.58,75.35
254.88,75.28
261.31,75.54
275.8,74.82
281.02,76.69
285.42,76.99
293.87,76.68
295.91,78.7
302.2,78.97
305.55,93.69
306.7,95.16
327.1,95.7
