x,y
0.0,169.84
4.0,169.84
56.0,132.51
70.0,131.75
112.0,130.6
112.0,128.94
127.0,129.31
132.0,129.4
138.0,129.4
147.0,131.73
172.0,131.7
181.2,137.7
250.9,153.29
276.5,153.49
330.1,121.32
355.1,121.5
364.1,118.8
380.04,122.38
385.95,122.49
393.22,122.6
396.22,120.84
399.35,120.34
402.48,124.29
409.22,123.18
415.75,119.94
427.93,120.16
441.09,120.27
452.24,120.28
453.26,120.53
453.68,119.51
454.29,120.18
454.95,122.2
455.2,122.2
455.31,122.55
455.5,122.54
455.52,122.23
462.74,122.55
462.75,122.36
462.96,122.55
468.76,126.07
473.6,126.17
473.6,126.37
473.6,126.17
474.15,126.09
478.38,124.13
479.93,124.13
491.18,118.81
493.96,118.99
495.75,118.97
496.48,118.61
503.32,118.0
507.05,117.15
520.97,115.88
529.99,115.69
544.39,115.48
554.58,115.02
556.38,115.46
557.98,114.45
562.3,114.3
567.38,115.26
573.2,114.45
577.0,114.21
584.04,114.23
588.4,114.58
598.53,114.27
606.2,114.07
610.65,114.93
619.5,114.85
624.96,113.98
630.91,113.95
635.92,114.19
638.59,114.14
640.89,114.2
652.17,114.17
653.89,115.14
658.17,115.61
665.99,116.61
674.18,116.2
683.38,116.21
692.57,116.21
702.92,117.39
713.45,120.54
715.44,120.02
721.13,119.71
722.15,119.04
726.3,119.47
733.22,120.34
740.88,121.34
746.73,121.75
747.77,121.23
749.96,122.0
751.2,121.82
752.39,121.44
755.15,121.39
757.22,121.45
757.22,121.45
757.79,121.37
759.0,121.31
764.1,122.05
779.37,122.75
792.25,123.31
798.34,123.47
798.34,123.47
802.89,123.39
807.65,120.37
811.92,119.98
815.9,124.21
824.86,122.97
832.94,125.21
844.75,126.29
858.28,126.2
872.91,126.14
887.89,126.24
888.64,126.2
901.6,126.11
901.6,126.11
913.48,126.24
914.69,126.73
930.69,126.63
930.89,126.12
931.24,126.13
931.82,126.6
943.92,126.65
954.31,126.67
955.02,127.49
955.02,127.49
955.83,127.5
957.63,126.59
957.78,127.33
966.78,126.51
979.82,126.64
991.53,126.72
1005.99,126.6
1009.76,126.61
1017.12,126.55
1017.12,126.55
1030.89,126.57
1042.96,126.59
1043.28,125.51
1043.73,125.51
1043.81,126.15
1045.15,126.54
1056.21,126.77
1060.65,127.03
1061.3,127.35
1070.58,127.21
1079.08,127.34
1092.36,127.06
1103.82,127.26
1113.82,127.13
1113.82,127.15
1114.63,127.14
1121.75,127.08
1121.87,126.48
1132.13,126.48
1132.85,125.27
1145.62,125.23
1156.69,125.19
1159.67,125.24
1159.99,125.68
1172.05,125.67
1185.53,126.01
1197.57,125.85
1205.68,125.84
1206.03,127.14
1210.8,127.22
1210.8,127.22
1223.18,127.23
1231.38,127.37
1234.98,127.42
1235.12,127.06
1245.18,126.76
1256.28,126.51
1270.59,126.51
1284.99,126.33
1299.41,126.43
1308.99,126.39
1320.87,126.45
1329.56,126.34
1329.79,125.79
1337.89,125.79
1348.26,125.78
1356.46,125.76
1363.65,125.74
1373.35,125.79
1383.75,125.83
1395.52,125.77
1399.1,126.07
1399.32,125.31
1400.08,125.33
1400.58,125.75
1401.4,124.53
1402.95,121.66
1417.54,121.72
1419.06,124.78
1423.4,127.5
1434.07,127.14
1441.98,127.12
1442.23,127.13
1448.62,123.64
1456.42,123.67
1468.78,123.67
1477.61,123.81
1483.86,127.1
1492.65,127.27
1502.48,127.17
1502.55,126.11
1515.83,126.33
1527.82,126.23
1528.88,126.71
1539.73,127.35
1545.57,127.0
1548.5,124.36
1548.57,125.68
1550.73,124.36
1550.96,127.95
1551.0,127.94
1551.33,127.12
1552.67,127.09
1556.44,127.07
1557.32,127.07
1558.37,127.14
1558.41,127.92
1558.71,127.94
1558.77,126.81
1561.2,125.15
1568.73,124.37
1580.5,123.77
1589.88,124.04
1601.6,123.93
1614.41,123.8
1625.98,123.64
1635.13,123.73
1643.75,123.82
1655.54,123.92
1659.86,123.96
1670.33,124.1
1681.85,124.24
1691.35,124.35
1702.73,124.53
1714.14,124.33
1723.45,125.04
1736.6,132.36
1740.14,131.15
1744.04,132.39
1746.21,131.11
1746.28,132.4
1746.46,132.46
1747.69,133.31
1749.43,133.99
1749.43,133.77
