x,y
-29.97,2.72
-25.16,2.69
-20.41,3.08
-20.41,2.69
-5.43,10.62
0.0,10.94
0.0,10.62
0.0,10.62
0.63,10.7
15.23,3.83
23.85,3.77
25.74,3.76
38.8,3.75
48.99,3.45
59.45,3.31
69.12,3.27
74.0,3.22
77.59,2.69
80.19,2.15
81.2,2.04
87.98,0.63
100.17,-1.3
108.48,-3.86
119.43,-3.81
129.56,-3.43
139.8,-3.45
149.78,-3.26
159.29,-3.36
169.16,-3.43
179.43,-3.62
189.57,-3.54
199.26,-3.35
208.97,-3.26
219.1,-3.14
229.28,-2.82
239.13,-2.59
249.29,-2.49
259.31,-2.47
269.28,-2.34
278.93,-2.31
289.02,-2.21
298.83,-2.14
308.91,-2.14
318.74,-2.14
328.9,-2.1
338.7,-2.04
348.34,-2.0
358.27,-1.98
368.47,-1.94
378.38,-1.89
388.36,-1.9
398.02,-1.95
408.14,-1.95
417.65,-2.04
427.58,-2.04
437.87,-2.01
447.75,-1.8
456.32,-1.06
464.75,0.21
468.34,0.84
473.49,1.51
488.13,1.32
496.58,1.48
500.96,2.66
522.18,2.91
542.98,2.77
557.52,2.41
590.34,2.48
619.26,2.53
644.42,2.7
645.96,1.46
646.56,1.4
648.84,3.18
649.64,3.18
650.56,2.63
678.96,2.18
709.19,2.15
709.86,2.44
711.36,2.44
713.55,1.45
725.6,1.14
733.43,0.88
751.45,0.4
753.25,0.21
755.59,0.12
760.26,0.01
762.09,-0.01
764.93,-0.03
773.25,-0.13
783.77,-0.2
793.56,-0.23
801.75,-0.25
810.37,-0.29
821.25,-0.45
831.63,-0.77
841.72,-1.12
851.93,-1.44
861.25,-1.61
870.47,-1.74
879.66,-1.87
889.71,-2.0
899.61,-2.15
910.08,-2.3
919.73,-2.56
929.37,-2.83
938.32,-3.09
947.61,-3.37
957.33,-3.49
968.73,-3.52
978.42,-3.57
988.03,-3.96
997.21,-3.98
1006.09,-3.16
1014.09,-1.35
1026.37,1.18
1028.96,2.62
1031.55,2.62
1031.55,2.62
1031.55,2.82
1033.31,2.95
1036.73,2.96
1048.27,3.09
1058.51,2.97
1067.84,3.37
1069.05,11.12
1069.65,11.12
1069.65,7.62
