x,y
89.61,8.48
102.41,8.82
102.44,8.97
107.99,9.28
118.87,14.23
119.13,14.22
119.22,14.61
119.98,14.61
120.08,14.37
124.42,14.47
124.42,14.21
124.42,14.21
125.03,14.33
137.03,8.5
141.06,8.52
151.85,2.79
155.8,2.9
162.09,3.28
163.88,3.18
164.45,2.88
165.6,2.78
168.88,0.67
182.43,0.23
201.36,0.03
224.45,-0.72
247.36,-0.89
261.54,-0.71
279.49,-0.61
293.9,0.58
294.89,-0.49
295.98,1.12
297.27,2.24
299.18,2.42
300.61,3.33
308.93,3.47
310.07,4.3
313.01,4.59
315.05,5.16
320.33,5.12
323.54,5.37
335.48,6.28
343.48,6.53
345.71,6.34
359.91,7.93
369.51,7.93
382.18,8.02
387.79,8.05
401.78,7.98
415.4,8.03
428.3,8.05
432.9,8.58
436.19,8.6
439.6,9.03
451.78,8.98
462.84,8.8
475.3,8.61
486.93,8.66
497.4,8.61
508.37,8.75
520.97,8.71
525.5,8.71
535.95,8.87
541.09,8.78
541.46,8.5
541.81,8.73
542.25,8.73
543.05,8.76
549.97,8.83
550.9,8.69
559.57,8.88
571.24,8.83
583.1,8.84
595.2,8.81
607.74,8.8
610.14,8.96
613.13,8.98
613.17,8.78
623.52,8.84
635.68,8.07
646.02,8.17
650.87,8.89
652.21,8.52
653.19,8.89
658.96,8.81
659.0,9.0
659.46,9.18
659.46,9.0
660.08,9.19
660.79,8.82
661.61,8.83
661.71,9.24
661.82,9.25
661.82,8.82
669.52,8.83
669.72,9.28
669.84,9.48
669.87,9.48
671.86,9.15
671.86,9.3
671.86,9.15
675.44,9.44
675.92,9.54
679.51,9.53
680.2,14.0
680.22,14.15
680.35,14.55
681.09,14.56
681.19,14.15
682.09,14.0
682.09,9.51
682.26,9.45
682.38,9.3
689.46,9.35
689.46,8.53
690.27,9.3
690.27,8.53
