x,y
-34.43,2.87
-22.69,2.57
-22.19,2.55
-22.1,2.67
-21.81,2.98
-18.28,3.22
-5.2,9.67
-5.14,9.9
-4.9,9.94
-4.81,9.79
0.0,9.76
0.0,9.78
0.0,9.76
0.43,9.76
0.53,9.9
0.59,9.91
0.62,9.76
0.84,9.66
14.03,3.36
22.47,3.25
27.6,3.29
32.39,3.41
47.41,3.54
70.46,3.43
81.42,3.4
102.04,3.47
105.4,3.44
107.09,3.45
109.37,3.38
110.32,3.38
110.87,1.99
111.0,1.03
111.9,1.03
112.11,0.26
122.5,-1.72
125.52,-1.97
128.5,-2.13
131.54,-2.19
134.5,-2.24
138.35,-2.13
141.3,-1.98
144.33,-1.74
147.37,-1.61
150.38,-1.51
155.38,-2.08
157.96,-2.15
160.65,-2.17
163.44,-2.19
167.72,-1.5
170.62,-1.79
173.49,-1.95
178.02,-2.82
180.71,-2.88
183.8,-2.98
186.82,-3.1
189.91,-3.07
192.89,-2.94
195.97,-2.94
198.91,-2.95
201.7,-3.48
204.54,-3.48
207.44,-3.34
210.52,-3.28
213.54,-3.14
216.53,-3.1
219.48,-3.18
222.35,-3.11
225.39,-3.19
244.07,-2.55
246.89,-3.43
249.95,-3.32
252.94,-3.4
255.98,-3.41
259.0,-3.87
262.02,-3.9
265.09,-3.79
268.18,-4.01
271.2,-3.47
274.19,-2.49
277.17,-2.33
280.1,-2.38
283.15,-2.53
286.16,-2.66
289.17,-2.53
292.16,-2.77
295.23,-4.08
298.24,-4.18
301.22,-4.25
304.18,-3.66
307.26,-3.28
310.28,-3.3
313.31,-3.77
316.35,-4.01
319.42,-4.06
322.48,-3.95
325.52,-4.19
328.61,-4.14
331.62,-4.77
334.72,-4.74
337.74,-4.58
340.75,-4.54
343.73,-4.47
346.71,-4.88
349.7,-4.57
352.73,-4.79
355.71,-4.84
358.73,-4.79
361.69,-4.73
364.61,-4.83
367.57,-5.12
370.56,-5.35
373.63,-5.64
376.62,-4.98
379.68,-5.07
382.73,-4.92
385.73,-4.75
388.82,-4.9
391.8,-5.31
394.8,-6.02
397.84,-6.21
400.85,-6.26
403.92,-6.47
406.95,-6.22
409.81,-6.63
412.7,-6.49
415.76,-6.48
418.82,-6.6
421.87,-6.66
424.9,-6.48
427.91,-6.6
430.94,-6.45
434.01,-5.71
437.04,-5.7
440.07,-5.27
443.08,-4.77
446.09,-4.48
449.11,-4.09
452.14,-3.91
455.17,-3.57
458.2,-3.27
461.22,-2.88
464.19,-2.78
467.28,-2.73
470.34,-2.61
473.34,-2.8
476.42,-2.55
479.5,-1.73
482.56,-1.36
485.56,-1.21
488.58,-1.09
491.58,-0.74
494.59,-0.81
497.58,-1.05
500.65,-1.12
503.56,-1.22
506.38,-1.4
509.16,-1.78
513.54,-0.67
513.99,-0.02
514.06,0.25
516.17,-0.01
516.32,3.0
522.7,2.83
524.47,2.85
536.95,3.05
546.3,3.21
553.92,3.29
560.39,3.28
568.18,3.2
568.18,3.24
568.18,3.2
571.17,3.18
571.17,7.23
571.7,7.23
571.7,10.18
572.6,10.18
572.6,3.18
574.02,3.18
581.25,3.05
590.37,2.96
597.81,2.77
598.52,2.73
