x,y
-56.88,3.61
-53.35,3.54
-53.34,3.4
-52.69,3.43
-47.31,3.6
-40.38,3.67
-40.37,4.03
-40.24,4.05
-40.12,4.05
-34.94,4.14
-30.38,4.09
-30.26,4.09
-29.98,4.06
-29.96,3.7
-26.12,3.67
-21.29,3.57
-20.3,3.58
-12.88,7.15
-5.91,10.72
-5.9,10.93
-5.55,10.93
-5.54,10.76
-3.0,10.79
-0.69,10.8
-0.32,10.69
-0.17,10.69
-0.16,10.8
-0.05,10.8
-0.04,10.7
0.1,10.71
6.61,7.45
14.52,3.73
15.86,3.59
20.86,3.62
22.06,3.6
22.72,3.28
23.24,3.28
24.57,3.69
33.17,3.79
38.31,3.67
40.3,3.47
42.4,3.37
43.81,3.59
51.69,3.62
60.85,3.64
61.19,3.42
61.49,3.41
61.83,3.64
64.36,3.65
66.39,3.45
69.56,3.37
69.87,3.42
71.53,3.42
72.07,3.43
72.08,3.25
72.69,3.25
72.7,3.12
73.45,3.12
73.46,2.85
75.75,2.78
85.75,2.58
95.75,2.08
99.79,1.76
104.24,0.94
106.28,0.32
107.85,-0.05
112.47,-0.29
116.42,-0.43
122.43,-0.53
128.93,-0.57
135.56,-0.53
142.36,-0.82
148.91,-1.0
155.57,-1.37
162.34,-1.9
169.18,-2.25
176.0,-2.6
182.75,-2.79
189.41,-2.57
196.23,-2.75
203.12,-2.66
210.11,-2.75
216.93,-2.97
223.84,-3.13
230.73,-3.02
237.71,-2.99
244.58,-3.28
251.46,-3.02
258.28,-2.49
265.07,-2.37
271.77,-2.43
278.44,-2.34
285.19,-2.33
291.98,-2.28
298.79,-2.67
305.79,-2.82
312.76,-3.21
319.59,-3.42
326.39,-3.65
333.14,-3.5
339.87,-3.65
346.56,-3.93
353.25,-3.95
359.95,-4.57
366.65,-4.04
373.3,-4.61
379.95,-5.03
386.58,-4.91
393.14,-4.73
399.66,-4.3
406.14,-4.01
412.62,-4.01
419.14,-4.07
425.63,-4.86
432.14,-4.99
438.64,-5.26
444.82,-5.61
450.93,-6.06
457.03,-6.15
463.15,-6.16
469.17,-6.54
475.32,-7.16
481.33,-7.67
487.53,-7.37
493.88,-6.01
500.23,-5.46
506.59,-4.04
512.81,-2.35
518.92,-1.79
524.89,-1.78
530.52,-1.96
536.0,-2.66
539.85,-2.42
545.76,-1.73
551.39,0.56
552.98,3.24
562.28,3.41
568.7,3.13
575.4,3.03
583.68,2.76
591.3,2.87
596.64,2.45
604.78,2.63
612.2,2.98
620.41,3.26
629.3,3.08
638.39,3.31
641.39,3.92
647.05,3.88
653.61,3.73
656.01,3.29
662.1,3.28
670.24,3.19
678.13,3.19
685.49,3.0
687.04,2.82
691.62,2.84
696.96,3.41
706.02,3.36
714.13,3.05
722.4,3.03
730.02,2.93
739.52,3.12
749.7,3.32
756.69,3.07
763.97,3.17
771.66,3.11
779.42,2.94
787.21,3.01
794.72,2.7
803.49,2.52
804.99,1.44
808.35,0.5
811.87,-0.29
817.19,-2.26
821.05,-2.22
826.67,-1.61
830.68,-1.12
834.76,-0.95
838.79,-0.84
842.9,-0.72
846.97,-0.48
851.02,-0.44
855.05,-0.06
859.1,0.48
863.12,0.85
867.13,0.83
869.16,0.18
872.56,0.34
882.81,0.67
892.05,0.56
901.78,0.37
911.97,0.23
919.73,-0.87
924.33,-0.97
929.56,-1.22
935.35,-1.2
941.43,-1.06
947.59,-1.01
953.68,-1.34
959.83,-2.43
965.96,-3.31
972.24,-3.81
978.42,-3.91
984.55,-4.28
990.5,-4.75
996.42,-4.81
1002.44,-4.66
1008.29,-4.79
1013.56,-3.81
1015.6,-2.86
1019.76,-0.95
1020.86,-0.28
1027.63,0.81
1033.47,1.55
1040.5,2.56
1040.6,2.56
1042.33,2.64
1044.76,2.73
1047.82,2.74
1047.83,2.68
1048.22,2.78
1048.6,2.71
1050.66,2.61
1054.88,2.62
1056.84,2.62
1059.04,2.69
1061.06,2.77
1061.07,3.15
1061.31,3.15
1061.32,3.0
1062.1,2.97
1063.44,7.62
1063.57,10.94
1064.17,10.94
1064.21,5.77
1074.15,5.04
