x,y
-30.41,50.42
-26.55,50.48
-26.48,51.24
-26.27,51.24
-26.16,44.65
-22.69,44.3
-18.24,43.84
-18.04,43.84
-17.98,43.63
-16.59,43.5
-16.46,43.5
-16.36,43.25
-8.56,43.45
-8.41,43.89
-7.54,43.99
-0.83,48.1
0.0,48.19
2.24,48.0
12.63,41.61
14.12,40.99
15.81,40.33
18.82,40.28
19.26,40.36
22.18,40.32
22.24,40.19
26.35,40.08
42.77,32.85
43.06,32.82
43.17,31.09
51.92,31.01
61.55,31.06
70.24,31.04
77.29,31.06
84.5,31.01
92.07,30.99
99.15,30.98
107.16,30.99
115.21,31.08
122.64,30.97
129.74,31.01
136.54,31.07
144.54,31.08
153.25,31.11
162.42,31.13
170.1,31.11
178.06,31.13
184.29,31.15
188.18,31.17
189.07,31.36
189.94,31.33
198.56,31.2
200.93,31.14
208.66,31.2
215.65,31.12
222.88,31.1
226.93,31.06
227.22,30.82
228.33,30.79
228.89,31.12
237.07,33.41
244.1,36.97
245.41,40.39
248.51,41.42
253.23,42.48
260.89,42.68
271.46,42.74
280.75,42.6
291.36,42.7
296.41,42.73
302.32,42.76
307.54,42.77
312.71,42.78
317.24,42.75
323.91,42.73
334.35,42.7
340.16,42.67
345.31,42.63
355.17,42.63
365.78,42.62
373.04,42.64
382.98,42.66
392.53,42.66
402.79,42.69
412.41,42.68
421.75,42.76
432.28,42.85
437.42,42.84
442.6,42.86
452.23,42.99
460.78,42.9
466.89,42.77
469.58,43.22
476.96,43.63
484.25,44.19
486.54,44.94
491.31,45.12
498.72,44.91
505.69,45.09
507.03,45.7
510.3,45.44
511.65,44.7
519.28,44.66
521.97,44.31
526.09,44.48
527.71,44.61
528.19,44.46
528.38,44.47
529.49,44.87
534.61,44.84
536.3,44.85
541.51,48.17
541.69,48.28
544.98,48.19
549.43,45.59
550.49,45.53
550.75,45.0
557.09,44.84
557.97,44.91
558.03,47.56
