x,y
-66.16,3.59
-59.65,3.44
-55.53,3.31
-52.52,3.24
-52.42,3.09
-51.85,3.14
-46.38,2.98
-40.9,2.83
-40.12,2.85
-39.99,3.17
-37.36,3.19
-37.26,2.83
-36.57,2.84
-32.12,2.85
-32.05,3.15
-29.65,3.15
-29.55,2.81
-21.0,2.55
-20.31,2.54
-20.19,3.87
-19.5,3.88
-12.24,7.58
-5.74,10.65
-5.39,10.69
-5.33,10.79
-5.05,10.79
0.49,10.88
1.0,10.76
7.96,7.65
13.49,4.86
14.46,4.74
14.79,3.95
16.24,3.87
21.03,3.85
24.13,3.79
24.73,3.62
25.3,3.65
26.28,3.94
29.59,3.94
37.56,3.87
46.24,3.68
53.85,3.59
61.81,3.48
62.44,3.15
63.22,3.19
63.85,3.48
67.11,3.55
68.46,3.43
71.45,3.38
75.07,3.24
76.87,3.26
78.5,2.53
79.1,1.87
79.59,1.85
79.62,0.58
80.08,0.41
80.37,0.01
86.63,-0.81
88.56,-1.18
91.85,-1.58
95.71,-2.86
98.64,-3.99
100.02,-3.99
104.63,-3.64
106.58,-3.48
110.31,-3.4
112.36,-3.45
115.81,-3.14
118.93,-3.09
122.12,-3.06
125.11,-3.16
128.06,-3.2
131.64,-3.2
133.63,-3.18
137.23,-3.16
140.62,-3.12
141.94,-3.15
144.35,-3.15
147.11,-3.14
152.46,-3.14
155.41,-3.22
158.38,-3.22
161.25,-3.22
166.65,-3.22
169.87,-3.34
171.01,-3.34
176.67,-3.3
176.97,-3.26
180.97,-3.16
185.69,-3.12
188.43,-3.14
191.66,-3.13
197.37,-3.04
200.3,-3.04
203.0,-2.97
206.23,-2.83
209.16,-2.58
212.26,-2.58
214.98,-2.44
217.92,-2.38
223.89,-2.0
226.72,-1.89
229.74,-1.86
232.63,-1.84
236.49,-1.66
238.44,-1.38
241.49,-1.32
244.43,-1.35
251.18,-1.36
254.07,-1.28
256.82,-1.33
260.11,-1.27
265.51,-1.3
268.08,-1.26
270.89,-1.26
278.68,-1.21
281.53,-1.26
284.28,-1.29
290.69,-1.29
293.57,-1.28
296.39,-1.33
299.57,-1.38
300.3,-1.37
305.29,-1.37
307.93,-1.38
310.89,-1.38
313.83,-1.38
317.58,-1.4
319.57,-1.4
322.56,-1.4
325.33,-1.46
329.12,-1.49
331.46,-1.5
334.59,-1.5
337.4,-1.58
340.42,-1.58
344.23,-1.59
346.15,-1.59
348.83,-1.61
351.8,-1.61
354.74,-1.62
358.34,-1.62
360.3,-1.61
363.26,-1.64
365.97,-1.64
369.79,-1.7
374.02,-1.68
377.67,-1.71
380.68,-1.81
385.61,-1.8
388.02,-1.8
390.78,-1.86
397.66,-1.95
399.29,-1.94
402.24,-1.94
405.03,-1.93
410.02,-1.93
413.47,-1.8
414.65,-1.8
417.55,-2.19
420.58,-2.17
425.62,-2.12
428.22,-2.15
431.1,-2.18
437.56,-2.3
439.08,-2.33
441.94,-2.33
444.59,-2.65
448.45,-2.65
452.62,-2.82
453.69,-2.82
456.39,-3.03
459.18,-3.19
464.49,-3.19
467.17,-3.24
470.18,-3.42
472.9,-3.41
476.08,-3.41
477.92,-3.6
480.66,-3.63
483.19,-3.85
488.67,-3.87
491.46,-3.91
493.86,-3.95
496.35,-3.96
499.44,-4.07
503.09,-4.13
505.26,-4.14
508.97,-4.14
511.03,-4.13
514.79,-4.03
517.95,-4.03
520.71,-3.78
524.16,-3.2
527.32,-2.22
532.41,-1.18
535.06,-0.6
538.43,0.11
541.55,0.76
542.85,1.22
544.35,3.62
551.24,3.61
558.11,3.59
558.84,3.51
566.13,3.44
573.65,3.32
579.9,3.27
584.95,3.13
590.01,3.0
592.54,3.04
601.14,3.16
609.12,3.08
616.37,3.01
617.36,2.88
617.7,2.73
618.02,2.77
618.52,2.99
625.38,2.93
632.25,2.87
639.31,2.91
643.84,2.89
645.27,2.86
652.68,2.98
659.81,2.9
667.11,2.85
674.76,2.72
677.61,2.73
680.2,2.64
689.56,2.73
694.88,2.65
702.49,2.59
710.09,2.54
712.24,2.24
715.29,2.07
721.63,2.01
727.38,1.84
735.24,1.84
741.79,1.86
748.65,1.92
752.05,1.84
757.11,1.6
759.18,-0.01
762.54,-0.71
765.29,-0.98
768.7,-1.01
773.39,-1.05
777.88,-0.96
783.58,-0.91
788.44,-0.91
793.52,-0.86
800.49,-0.8
806.37,-0.81
813.02,-0.83
820.02,-0.74
825.52,-0.64
831.51,-0.34
835.35,0.51
837.04,0.9
837.89,2.35
846.19,2.13
852.51,2.15
858.85,2.18
866.43,2.2
871.95,2.5
877.45,2.49
879.76,2.03
884.67,2.04
885.69,1.19
889.33,0.74
895.26,0.5
900.26,0.4
905.47,0.18
910.57,-0.12
915.62,-0.45
920.37,-0.84
924.61,-1.12
929.03,-1.25
933.29,-1.41
934.9,-1.45
936.83,-1.46
941.66,-1.62
943.53,-1.65
945.52,-1.64
948.38,-1.71
952.11,-1.75
954.59,-1.79
958.55,-1.82
960.4,-1.95
964.78,-1.99
967.61,-2.04
969.67,-2.06
973.97,-2.19
976.27,-2.3
978.4,-2.31
982.03,-2.58
985.38,-2.59
987.57,-2.65
991.85,-2.62
996.8,-2.72
999.8,-2.74
1002.88,-2.67
1005.82,-2.76
1009.48,-2.95
1011.86,-2.38
1015.88,-1.42
1017.4,-0.9
1019.8,-0.53
1019.99,-0.09
1020.73,0.01
1021.88,0.44
1023.41,0.84
1024.9,1.22
1026.01,2.87
1027.9,3.07
1028.44,2.53
1028.8,2.49
1030.97,2.52
1031.15,2.55
1031.23,2.88
1033.21,2.95
1034.33,2.83
1038.86,2.85
1041.18,3.0
1042.63,3.56
1048.11,3.66
1053.87,3.54
1055.29,3.04
1056.14,3.13
1059.51,3.13
1059.66,3.48
1059.78,3.49
1059.92,3.13
1063.44,3.18
1063.54,3.56
1063.64,3.56
1063.78,3.35
1064.27,3.25
1064.62,3.11
1065.13,3.13
1065.81,3.44
1067.98,3.64
1069.14,11.04
1069.84,11.04
1069.99,4.42
1079.79,4.41
1079.85,4.34
1081.27,4.3
1083.16,4.27
