x,y
-104.31,3.55
-101.29,3.55
-101.22,3.37
-100.98,3.55
-100.64,3.37
-91.3,3.42
-86.11,3.24
-81.24,3.18
-81.13,3.36
-78.16,3.36
-69.83,3.57
-61.83,3.53
-55.39,3.28
-52.42,3.28
-52.34,3.14
-51.74,3.14
-47.98,3.08
-40.99,2.84
-40.09,2.84
-40.0,3.66
-37.92,3.66
-37.83,3.18
-37.41,3.18
-37.32,2.83
-36.53,2.83
-32.25,2.84
-32.16,3.21
-31.9,3.21
-31.82,3.65
-29.74,3.65
-29.64,2.77
-20.83,2.55
-20.35,3.87
-20.34,2.54
-20.12,3.88
-5.35,10.65
-5.32,10.8
-5.06,10.81
0.57,10.88
14.43,4.75
14.62,4.74
14.64,3.94
16.23,3.88
21.01,3.85
24.06,3.77
24.66,3.64
25.21,3.63
26.61,3.94
44.69,3.79
61.79,3.51
62.56,3.16
63.1,3.15
63.82,3.49
68.49,3.43
71.42,3.4
77.03,3.28
79.06,2.19
79.23,1.87
79.68,1.87
79.73,0.57
80.52,0.36
80.55,0.09
83.86,-1.97
91.86,-2.73
101.49,-4.29
106.69,-4.18
113.92,-3.11
123.97,-3.01
131.78,-2.74
139.46,-2.84
148.08,-2.44
156.14,-3.02
164.32,-2.93
172.99,-2.93
182.29,-2.84
190.54,-2.9
199.02,-2.83
206.32,-3.27
213.96,-3.01
222.75,-2.44
230.53,-2.0
239.79,-1.69
247.58,-1.56
257.94,-1.38
263.73,-1.23
274.62,-1.23
281.6,-1.15
294.38,-1.15
305.71,-1.24
318.23,-1.27
334.73,-1.29
346.29,-1.48
355.0,-1.61
368.55,-1.72
382.52,-1.62
397.45,-1.97
403.33,-2.18
409.1,-2.28
421.3,-2.51
429.88,-2.41
443.8,-2.21
454.75,-2.29
462.24,-2.74
465.67,-2.83
470.81,-3.37
480.52,-3.51
490.04,-3.64
501.38,-3.88
503.8,-4.03
512.52,-4.11
519.79,-3.96
525.1,-3.76
528.13,-2.52
530.81,-1.83
534.85,0.59
537.34,1.37
538.7,2.37
547.55,3.21
565.45,3.19
580.07,3.11
596.92,3.01
599.76,3.01
604.64,3.01
615.92,2.78
627.82,2.74
644.72,2.81
646.65,2.62
648.92,3.01
662.34,2.57
676.07,2.47
693.1,2.38
711.4,2.19
718.21,1.84
726.59,1.68
744.65,1.64
749.69,1.59
758.0,1.22
760.22,0.52
761.43,-0.11
763.78,-0.68
768.7,-0.91
779.04,-0.63
786.96,-0.58
797.36,-0.57
807.48,-0.68
815.21,-0.55
822.93,-0.23
831.48,-0.28
832.2,0.11
833.2,1.04
838.03,1.19
843.17,1.28
852.92,1.41
873.81,1.84
877.55,2.28
879.25,1.72
881.3,0.97
887.56,0.08
905.95,-0.21
920.82,-0.73
936.66,-1.05
946.88,-1.48
951.85,-1.78
956.3,-1.78
959.46,-2.02
973.34,-2.43
977.7,-2.73
983.11,-2.18
997.83,-2.57
1004.3,-2.77
1005.44,-2.72
1009.44,-2.64
1012.47,-2.17
1013.46,-2.14
1017.22,-1.57
1019.14,-1.74
1023.86,1.36
1024.92,2.36
1025.81,2.57
1026.87,2.75
1027.51,2.75
1028.67,2.6
1030.97,2.5
1031.22,2.6
1031.3,2.9
1032.41,2.96
1034.53,2.84
1038.89,2.87
1042.89,3.3
1053.99,3.44
1056.19,3.22
1056.41,3.28
1056.56,3.34
1056.66,3.13
1059.65,3.14
1059.71,3.51
1059.89,3.51
1059.97,3.15
1063.61,3.19
1063.8,3.69
1063.86,3.42
1066.05,3.45
1067.95,3.57
1069.13,7.52
1069.21,11.61
1069.63,11.61
1069.65,4.71
1074.25,4.71
1080.37,4.64
1080.41,4.62
1081.85,4.58
1083.81,4.58
