x,y
0.0,11.83
27.05,11.37
48.95,11.51
94.02,11.81
130.73,11.34
160.91,11.05
210.97,10.05
242.26,10.03
264.8,9.95
277.84,9.22
282.64,6.74
284.27,6.81
288.18,8.48
288.59,9.64
291.65,8.64
292.06,9.49
293.97,9.78
302.13,9.46
302.84,9.55
303.05,10.36
303.23,10.34
303.34,9.42
308.87,9.68
309.64,9.6
309.94,10.19
322.05,15.69
327.99,15.66
340.13,9.65
344.08,9.71
359.18,2.48
359.75,2.86
377.14,2.11
387.63,1.76
390.41,0.56
392.15,0.29
399.28,0.17
399.51,0.31
405.72,0.2
414.83,0.2
418.28,-0.17
419.02,0.03
419.98,0.03
424.07,-0.11
427.78,-0.95
435.71,-0.59
440.84,-2.43
442.99,-0.72
450.3,-0.34
461.95,-0.51
474.62,0.23
487.71,-0.35
494.45,-0.38
511.93,0.07
524.92,-1.0
535.47,-0.38
538.97,0.72
544.25,1.34
545.24,2.54
550.88,7.82
553.49,7.75
567.61,7.52
621.74,36.22
629.98,35.97
636.71,35.58
642.37,38.89
647.31,38.61
652.33,39.6
656.36,38.53
683.32,37.63
686.98,37.04
689.71,38.1
694.83,37.75
695.66,37.09
698.5,37.08
699.17,37.0
737.39,8.27
743.51,7.5
746.06,3.3
747.62,4.07
749.16,2.14
768.16,4.61
775.34,3.68
777.75,2.83
778.38,2.23
785.93,2.83
803.42,1.9
815.59,1.66
816.88,3.03
828.11,3.18
835.34,6.54
858.76,7.68
859.2,4.52
875.28,5.17
875.39,7.88
890.53,8.43
908.72,8.13
908.75,8.18
941.32,9.29
949.43,13.34
951.15,14.25
955.69,14.4
955.96,14.43
957.37,13.3
968.88,12.63
973.89,10.01
975.43,10.16
977.51,9.04
980.12,9.12
990.45,9.01
996.01,8.28
1002.38,5.58
1010.55,5.44
1014.13,8.5
1029.27,8.77
1042.16,9.02
1056.35,10.93
1130.0,11.22
1150.0,11.8
