x,y
-13.96,9.98
-0.27,5.5
0.39,5.5
5.58,2.88
20.33,2.92
23.15,1.56
27.13,-1.04
33.13,-1.75
36.27,-2.3
39.27,-2.23
48.27,-3.53
52.85,-3.77
62.85,-3.83
66.85,-4.73
73.39,-4.78
78.39,-5.23
85.39,-5.13
88.39,-5.73
91.39,-5.93
96.54,-5.49
101.54,-5.23
104.54,-5.23
105.54,-5.73
107.54,-5.83
110.54,-5.63
112.54,-5.33
115.89,-5.17
116.89,-5.03
119.89,-4.03
123.89,-3.43
124.89,-4.63
130.89,-5.33
134.05,-5.35
137.05,-5.23
139.05,-5.43
143.05,-5.83
148.05,-5.33
152.05,-5.33
155.05,-5.63
159.14,-6.84
170.14,-7.63
173.14,-7.13
178.14,-7.83
183.22,-7.37
188.22,-9.63
193.22,-7.93
203.71,-7.59
205.71,-7.43
208.71,-7.43
211.71,-5.73
215.71,-5.93
218.71,-6.73
226.89,-6.71
231.89,-8.43
243.3,-8.14
253.3,-8.25
258.3,-7.63
263.57,-6.03
267.57,-5.41
274.57,-5.73
279.57,-5.73
283.41,-6.86
290.41,-8.43
291.41,-8.73
295.41,-7.93
302.3,-9.27
310.3,-8.63
313.3,-8.53
316.3,-8.93
323.28,-7.9
328.28,-6.58
331.28,-6.73
334.28,-5.83
337.28,-5.93
341.33,-5.68
345.33,-5.53
348.33,-6.23
351.33,-6.6
356.33,-7.68
362.31,-7.04
366.31,-6.13
368.31,-4.63
372.31,-4.95
378.05,-3.65
381.05,-2.93
386.05,-2.33
392.15,-1.08
396.82,1.67
404.02,1.98
404.8,2.72
406.02,2.24
409.48,10.07
